TemplateID	LmQuery	Query
149	300 косг	300 косгу
149	330 косг	косгу 330
719	допуск журнал наряд хранение	хранение журнала нарядов допусков
719	год журнал наряд сколько храниться	сколько лет хранятся журналы нарядов
719	журнал задание наряд срок хранение	сроки хранения журналов наряд-заданий
719	выдача журнал наряд срок хранение	срок хранения журнала выдачи нарядов
1768	2023 год рефинансирование ставка	ставки рефинансирования в 2023 году
1768	ключевой сегодня ставка	ключевая ставка на сегодня
1768	год рефинансирование ставка	ставка рефинансирования по годам
1768	банк однократный россия ставка учетный	однократная учетная ставка банка россии
1768	2022 г рефинансирование ставка	ставка рефинансирования 2022 г
2641	договор многий отпуск период работник трудовой	трудовой договор на период отпусков многих работников
2641	год дата договор окончание трудовой	дата окончания трудового договора на год
2641	выдача договор смывать трудовой	выдача смывающих в трудовом договоре
2641	2019 договор образец скачать трудовой	трудовой договор – 2019 образец скачать
2641	договор интеллектуальный собственность трудовой	трудовой договор интеллектуальную собственность
2641	дело договор личный нет сотрудник трудовой	в личном деле сотрудника нет трудового договора
2641	бухгалтер договор трудовой трудовой функция	трудовая функция бухгалтера в трудовом договоре
2641	it договор специалист трудовой	трудовой договор it специалиста
2641	договор муп руководитель с трудовой	трудовой договор с руководителем мупа
2641	внешний договор с совместитель составлять трудовой	как составить трудовой договор с внешним совместителем
2641	договор заключенный считаться трудовой	трудовой договор считается заключенным
2641	гражданин договор иностранный образец с трудовой	образец трудового договора с иностранным гражданином
2641	договор должностной инструкция ссылка трудовой	ссылка в трудовом договоре на должностную инструкцию
2641	договор иметь работник разъездной с трудовой характер	трудовой договор с работником имеющим разъездной характер
2641	делать договор трудовой утерять	утерян трудовой договор что нужно делать
2641	договор кт трудовой удалять	трудовой договор на удален кт
2641	договор с трудовой электросварщик	трудовой договор с электросварщиком
2641	два договор месяц образец трудовой	трудовой договор до двух месяцев образец
2641	гпх договор и кратко различие трудовой	кратко различия договора гпх и трудового
2641	договор организация создавать трудовой	как создать трудовой договор для организации
2641	вахтовый договор работа трудовой	трудовой договор о вахтовой работе
2641	договор медсестра процедурный трудовой	трудовой договор процедурной медсестры
2641	гос договор трудовой учреждение	трудовой договор в гос. учреждении
2641	договор трудовой удаленке форма	форма трудового договора на удаленке
2641	договор особенность система трудовой упрощенный	особенности трудового договора упрощенная система
2641	договор место оценка рабочий труд трудовой	трудовой договор оценки труда рабочего места
2641	дело договор опись трудовой	опись дела трудовых договоров
