sys	id	query	lem_query
1	15	образец приказ на продление отпуска за больничный	образец приказ продление отпуск больничный
1	524373	единой (упрощенной) декларации информацию о налогах	единый упрощенный декларация налог
1	524373	форма упрощенной декларации для ип	форма упрощенный декларация ипать
1	524374	когда отчитываться ип по единой упрощенной декларации	когда отчитываться ипать единый упрощенный декларация
1	524374	когда компания на осно может сдавать единую упрощенную декларацию	когда компания осно мочь сдавать единый упрощенный декларация
1	524374	ип единая упрощенная декларация сроки сдачи	ипать единый упрощенный декларация срок сдача
1	524374	единая упрощенная декларация 2021 сроки	единый упрощенный декларация 2021 срок
1	524375	штраф за несдачу единой упрощенной декларации	штраф несдача единый упрощенный декларация
1	32857	договор поставки авто	договор поставка авто
1	32857	договор поставки транспортного средства	договор поставка транспортный средство
1	32857	договор поставки тс	договор поставка тс
1	491654	сообщение об исчислении суммы транспортного налога	сообщение исчисление сумма транспортный налог
1	491654	возражение на сообщение об исчислении транспортного налога	возражение сообщение исчисление транспортный налог
1	491655	пояснение по транспортному налогу	пояснение транспортный налог
1	426121	сервис по санкциям	сервис санкция
1	426121	Сервис определения мер поддержки из-за санкций	сервис определение мера поддержка санкция
1	426121	сервис поддержка	сервис поддержка
1	426130	на что повлияет новая ставка рефинансирования	повлиять новый ставка рефинансирование
1	426130	на что влияет ключевая ставка рефинансирования центробанка	влиять ключевой ставка рефинансирование центробанк
1	426130	цб установил рекордную ключевую ставку: на какие расчеты это повлияет	цб устанавливать рекордный ключевой ставка какой расчет это повлиять
1	426130	влияние ключевой ставки на договор лизинга	влияние ключевой ставка договор лизинг
1	557252	Журнал учета присвоения группы I по электробезопасности неэлектротехническому персоналу	журнал учет присвоение группа i электробезопасность неэлектротехнический персонал
1	557252	журнал элеткробезопасность	журнал элеткробезопасность
1	557252	журнал регистрации инструктажа по электробезопасности	журнал регистрация инструктаж электробезопасность
1	557255	контрольные соотношения по налогу на прибыль должны соблюдаться поквартально	контрольный соотношение налог прибыль должный соблюдаться поквартально
1	557255	налог на прибыль годовой отчет как должны соблюдаться контрольные соотношения в квартальных отчетах	налог прибыль годовой отчет должный соблюдаться контрольный соотношение квартальный отчет
1	557274	как рассчитать доли по прибыли по обособленному подразделению по численности	рассчитать доля прибыль обособленный подразделение численность
1	557274	распределения налоговой базы по налогу на прибыль при наличии обособленных подразделений порядок расчета показателя среднесписочной численности определяется минфином или росстатом фнс	распределение налоговый база налог прибыль наличие обособленный подразделение порядок расчет показатель среднесписочный численность определяться минфин или росстат фнс
1	557274	численность по налогу на прибыль обособленного подразделения	численность налог прибыль обособленный подразделение
1	491801	проценты за пользование чужими транспортными средствами	процент пользование чужой транспортный средство
1	491804	задаток	задаток
1	459060	применение ккт ип без персонала	применение ккт ипать без персонал
1	459060	кассовый аппарат у предпринимателя без сотрудников	кассовый аппарат предприниматель без сотрудник
1	459060	индивидуальный предприниматель без сотрудников пробивает чек	индивидуальный предприниматель без сотрудник пробивать чек
1	459060	ип без работников ккт	ипать без работник ккт
1	459066	ошибки при работе с ккт	ошибка работа с ккт
1	524616	достаточно ли подшить к протоколу о крупной сделке сам контракт	достаточно ли подшивать протокол крупный сделка сам контракт
1	524616	какие должны быть приложения к протоколу о крупной сделке	какой должный быть приложение протокол крупный сделка
1	524616	как в ао получить согласие на совершение или последующее одобрение крупной сделки	ао получать согласие совершение или последующий одобрение крупный сделка
1	524616	документы для крупной сделки АО	документ крупный сделка ао
1	33103	срок давности по не начисленной заработной плате	срок давность не начислять заработный плата
1	33103	исковая давность споры о невыплате заработной платы	исковой давность спор невыплата заработный плата
1	33103	сроки подачи иска о взыскании заработной платы	срок подача иск взыскание заработный плата
1	524631	в какой срок надо одобрять крупную сделку	какой срок надо одобрять крупный сделка
1	557401	объекты основных средств обособленного подразделения сдаются в аренду расчет доли налога на прибыль	объект основный средство обособленный подразделение сдаваться аренда расчет доля налог прибыль
1	557401	счет 03 для расчета доли прибыли по обособленному подразделению	счет 03 расчет доля прибыль обособленный подразделение
1	557401	лизинговые имущество при расчете налога на прибыль обособленного подразделения	лизинговый имущество расчет налог прибыль обособленный подразделение
1	557411	бухгалтерская справка по расчету доли прибыли приходящейся на обособленное подразделение	бухгалтерский справка расчет доля прибыль приходиться обособленный подразделение
1	557412	как платить налог на прибыль по закрытому обособленному подразделению в региональный бюджет	платить налог прибыль закрытый обособленный подразделение региональный бюджет
1	557412	закрытое обособленное подразделение налог на прибыль	закрытый обособленный подразделение налог прибыль
1	557412	обособленное подразделение закрыто 1 июля - надо ли распределять прибыль на него в 3 квартале	обособленный подразделение закрывать 1 июль распределять прибыль он 3 квартал
1	491876	можно ли исправить ошибки в текущем периоде	исправлять ошибка текущий период
1	491876	как исправить ошибку в бухучете в текущем периоде	исправлять ошибка бухучет текущий период
1	491876	ошибка текущего года до окончания отчетного года	ошибка текущий год окончание отчетный год
1	491877	как исправить бухгалтерскую отчетность в текущем периоде после 31 декабря	исправлять бухгалтерский отчетность текущий период после 31 декабрь
1	491877	можно ли исправить ошибки в текущем периоде после окончания отчетного года	исправлять ошибка текущий период после окончание отчетный год
1	491877	как исправить в бухучете ошибку текущего периода	исправлять бухучет ошибка текущий период
1	557414	обособленное подразделение, через которое организация не платит налог на прибыль	обособленный подразделение который организация не платить налог прибыль
1	557414	оплата налога на прибыль по голове а не по обособке	оплата налог прибыль голова а не обособка
1	557414	прибыль обособленного подразделения в другом субъекте федерации	прибыль обособленный подразделение другой субъект федерация
1	557414	головное и обособленное подразделение находится в одном регионе (пермский край), просто в разных городах. нужно ли делить налог на прибыль	головной и обособленный подразделение находиться один регион пермский край просто разный город делить налог прибыль
1	557414	прибыль обособленное подразделение в другом регионе	прибыль обособленный подразделение другой регион
1	557414	сроки выбора места уплаты налога на прибыль за обособку	срок выбор место уплата налог прибыль обособка
1	557414	как платить налог на прибыль за 2022 год по обособленному подразделению если обязанность не возложена	платить налог прибыль 2022 год обособленный подразделение обязанность не возлагать
1	557414	налог на прибыль за обособленное подразделение в другом регионе рф	налог прибыль обособленный подразделение другой регион рф
1	557415	налог на прибыль для вновь созданных обособленных подразделений	налог прибыль вновь создавать обособленный подразделение
1	459144	изменения за 2023 год	изменение 2023 год
1	557449	срок возмещения расходов на ребенка-инвалида	срок возмещение расход ребенок инвалид
1	557449	сколько дней возмещают расходы на отпуск дополнительный на дете-инвалидов	сколько день возмещать расход отпуск дополнительный дет инвалид
1	557449	дни для возмещения на ребенка-инвалида	день возмещение ребенок инвалид
1	524684	налог на землю при усн в 2023 году для юридических	налог земля усна 2023 год юридический
1	524684	льгота по налогу на землю юридического лица на усн	льгота налог земля юридический лицо усна
1	524684	усн и налог на землю	усна и налог земля
1	557450	дети-инвалиды документы для возмещения	ребенок инвалид документ возмещение
1	557450	срок передачи документов в фонд на возмещение расходов на оплату дополнительных оплачиваемых выходных дней для ухода за детьми-инвалидами	срок передача документ фонд возмещение расход оплата дополнительный оплачивать выходной день уход ребенок инвалид
1	557450	документы ,предоставляемые работником своему работодателю о предоставлении дополнит оплачиваемых выходных дней по уходу за детьми инвалидами	документ предоставлять работник свой работодатель предоставление дополнять оплачивать выходной день уход ребенок инвалид
1	557487	счет-фактура по прослеживаемым товарам в рамках выполнения работ	счет фактура прослеживать товар рамка выполнение работа
1	557487	счет-фактура. реализация прослеживаемых товаров в россии	счет фактура реализация прослеживать товар россия
1	557487	образец счета фактуры с прослеживаемым товаром	образец счет фактура с прослеживать товар
