sys	id	query	lem_query
1	15	образец приказ на продление отпуска за больничный	образец приказ на продление отпуск за больничный
1	524373	форма единая упрощенная декларация	форма единый упрощенный декларация
1	524373	единой (упрощенной) декларации информацию о налогах	единый упрощенный декларация информация о налог
1	524373	форма упрощенной декларации для ип	форма упрощенный декларация для ипать
1	524374	единая упрощенная декларация 2021 сроки	единый упрощенный декларация 2021 срок
1	524374	единая (упрощенная) декларация-срок сдачи	единый упрощенный декларация срок сдача
1	524374	когда отчитываться ип по единой упрощенной декларации	когда отчитываться ипать по единый упрощенный декларация
1	524374	когда компания на осно может сдавать единую упрощенную декларацию	когда компания на осно мочь сдавать единый упрощенный декларация
1	524375	штраф за несдачу единой упрощенной декларации	штраф за несдача единый упрощенный декларация
1	32857	договор поставки авто	договор поставка авто
1	32857	договор поставки транспортного средства	договор поставка транспортный средство
1	32857	договор поставки тс	договор поставка тс
1	491654	сообщение об исчислении суммы транспортного налога	сообщение об исчисление сумма транспортный налог
1	491654	возражение на сообщение об исчислении транспортного налога	возражение на сообщение об исчисление транспортный налог
1	491655	пояснение по транспортному налогу	пояснение по транспортный налог
1	426121	сервис по санкциям	сервис по санкция
1	426121	сервис поддержка в связи с санкциями	сервис поддержка в связь с санкция
1	426121	сервис поддержка	сервис поддержка
1	426130	на что повлияет новая ставка рефинансирования	на что повлиять новый ставка рефинансирование
1	426130	на что влияет ключевая ставка рефинансирования центробанка	на что влиять ключевой ставка рефинансирование центробанк
1	426130	цб установил рекордную ключевую ставку: на какие расчеты это повлияет	цб устанавливать рекордный ключевой ставка на какой расчет это повлиять
1	426130	влияние ключевой ставки на договор лизинга	влияние ключевой ставка на договор лизинг
1	557252	Журнал учета присвоения группы I по электробезопасности неэлектротехническому персоналу	журнал учет присвоение группа i по электробезопасность неэлектротехнический персонал
1	557252	журнал элеткробезопасность	журнал элеткробезопасность
1	557252	журнал регистрации инструктажа по электробезопасности	журнал регистрация инструктаж по электробезопасность
1	557255	контрольные соотношения налога на прибыль с авансовыми платежами ежемесячно	контрольный соотношение налог на прибыль с авансовый платеж ежемесячно
1	557255	перечень контрольных соотношений в декларации п налогу на прибыль	перечень контрольный соотношение в декларация п налог на прибыль
1	557255	контрольные соотношения налога на прибыль в 2023 году	контрольный соотношение налог на прибыль в 2023 год
1	557255	контрольные соотношения по налогу на прибыль должны соблюдаться поквартально	контрольный соотношение по налог на прибыль должный соблюдаться поквартально
1	557255	налог на прибыль годовой отчет как должны соблюдаться контрольные соотношения в квартальных отчетах	налог на прибыль годовой отчет как должный соблюдаться контрольный соотношение в квартальный отчет
1	557274	как рассчитать доли по прибыли по обособленному подразделению по численности	как рассчитать доля по прибыль по обособленный подразделение по численность
1	557274	распределения налоговой базы по налогу на прибыль при наличии обособленных подразделений порядок расчета показателя среднесписочной численности определяется минфином или росстатом фнс	распределение налоговый база по налог на прибыль при наличие обособленный подразделение порядок расчет показатель среднесписочный численность определяться минфин или росстат фнс
1	557274	численность по налогу на прибыль обособленного подразделения	численность по налог на прибыль обособленный подразделение
1	557302	рсв 2023	рсв 2023
1	557302	отчет рсв 2023	отчет рсв 2023
1	557302	проект рсв	проект рсв
