sys,pub
16,93
28,67
8,9
11,14
2,194
11,279
13,209
51,235
45,12
37,8
10,54
28,188
1,234
37,273
4,96
3,280
28,224
15,25
50,248
8,251
27,264
13,186
4,217
16,191
1,211
13,222
4,253
37,250
45,25
37,21
51,68
34,281
1,67
15,267
54,195
11,233
51,189
10,8
1,188
54,51
10,273
16,204
2,269
1,224
14,14
37,263
13,55
47,685
3,270
16,60
55,51
8,205
27,218
54,208
4,207
10,21
2,17
37,11
4,63
3,247
28,191
15,221
27,195
13,68
37,96
16,73
54,185
11,223
47,145
13,189
4,220
45,221
11,79
10,263
16,194
2,259
47,410
14,233
47,675
3,260
14,269
15,234
8,195
27,208
11,200
8,51
10,11
51,12
22,214
1,191
54,54
45,234
13,22
4,53
15,211
1,47
27,185
47,688
3,93
8,208
15,67
47,135
45,211
37,207
2,249
51,25
14,223
15,188
1,24
13,264
13,35
4,66
45,67
16,269
15,224
55,260
28,14
8,185
14,79
34,94
11,190
28,279
47,112
54,8
27,54
45,188
2,226
54,273
14,200
47,148
45,224
37,220
13,12
51,267
2,262
47,642
16,17
1,266
55,8
34,71
11,203
10,207
47,125
8,54
34,192
54,21
11,59
3,204
1,14
16,259
37,53
2,95
28,233
3,60
28,269
21,230
27,273
47,102
11,36
10,220
54,263
14,190
21,86
34,205
4,262
3,217
15,191
2,72
1,256
37,66
3,73
8,8
27,21
2,193
47,115
54,11
45,191
51,234
4,10
2,229
3,194
10,53
55,204
1,233
54,96
16,249
2,85
28,223
1,269
14,59
28,79
8,250
27,263
8,21
2,206
13,221
4,252
47,622
16,226
10,66
2,62
28,200
14,36
3,63
15,266
27,11
2,183
8,263
4,229
51,224
1,632
55,194
1,223
13,234
4,265
37,262
15,14
1,79
16,95
54,207
8,11
11,16
2,196
8,96
13,211
45,14
37,10
2,52
3,17
28,190
37,275
13,67
16,72
15,256
8,253
54,220
13,188
16,193
13,224
45,256
16,229
3,259
28,203
15,233
1,69
15,269
28,59
11,235
51,191
10,10
2,6
1,190
54,53
4,232
45,233
10,275
16,206
1,226
14,16
55,17
45,269
47,687
16,62
14,281
55,53
28,36
8,207
27,220
11,212
54,66
3,249
51,60
15,223
1,59
34,93
8,220
15,79
11,225
4,186
47,147
13,191
45,223
10,265
16,196
3,226
47,412
14,235
15,200
14,6
1,36
37,255
45,79
3,262
16,281
47,677
16,52
27,210
14,91
47,124
8,53
27,66
45,200
51,14
2,9
1,193
14,212
11,94
37,232
4,55
47,654
3,95
47,137
11,71
10,255
51,256
2,251
16,6
14,225
15,190
34,60
3,72
28,16
27,200
34,96
11,192
28,281
47,114
54,10
4,189
45,190
37,186
10,232
2,228
3,193
34,217
37,222
13,14
3,229
1,268
34,73
14,94
15,59
11,25
2,205
47,127
34,194
11,61
4,22
47,621
3,206
1,16
13,256
45,59
37,55
55,252
3,62
1,281
28,235
14,71
15,36
27,10
47,104
10,222
51,223
2,218
3,183
54,265
14,192
