bot	sys	pubid	text	templateId	templateText	timestamp	etalon_text
kuber	2.0	16	спец оценка на госуслугах где можно найти ее	2641	В Системе Кадры есть готовые образцы трудовых договоров для различных работников в зависимости от условий приема на работу и должности. Вот ссылка по вашему вопросу https://vip.1kadry.ru/#/document/16/64929/actual/	2023-12-26T09:32:52.113	спец оценка рабочий место трудовой договор
kuber	2.0	10	Здравствуйте! Можно ли перевести сотрудника в декрете в другой отдел на ту же должность	552098	Чтобы перевести сотрудника на другую должность, заключите дополнительное соглашение к трудовому договору, а также издайте приказ о переводе по форме № Т-5 или по форме, которую разработали сами. Вот ссылка по вашему вопросу https://www.1kadry.ru/#/document/12/483029/actual/	2023-12-26T09:42:33.578	перевод сотрудник находиться декрет другой должность
kuber	2.0	16	добрый день! штраф на должностное лицо - ведущий бухгальер это должностное  лицо ?	525910	Специальных норм ответственности за непредставление или несвоевременное представление персонифицированных сведений НК не содержит. Далее читайте https://vip.1kadry.ru/#/document/86/589132/actual/	2023-12-26T10:00:48.797	персонифицировать сведение j физический лицо штраф
kuber	2.0	16	изменения с 1 января 2024	565674	Мы собрали все изменения, которые повлияют на работу кадрового специалиста в 2024 году. Смотрите подробнее https://vip.1kadry.ru/#/document/16/141977/actual/	2023-12-26T10:01:20.213	изменение законодательство 2024
kuber	2.0	10	Можно ли направить сведения о трудовой деятельности при увольнении заказным письмом без уведомления?	553749	Если в день увольнения выдать трудовую книжку сотруднику невозможно, например он отказывается получить документ или отсутствует на работе, составьте специальное уведомление и направьте по почте. Вот ссылка по вашему вопросу https://www.1kadry.ru/#/document/12/484950/actual/	2023-12-26T10:41:28.590	можно день после увольнение направлять уведомление получение трудовой книжка
kuber	2.0	10	Добрый день! Увольнение сотрудника выпадает на новогодние праздники, когда увольнять сотрудника?	494937	Если сотрудник увольняется по собственному желанию, он подает заявление на увольнение, и дату увольнения он может указать в том числе в свой выходной день. Подробнее см. https://www.1kadry.ru/#/document/12/447482/actual/	2023-12-26T10:44:11.656	увольнение выпадать выходной праздничный день когда увольнять
kuber	2.0	222	Здравствуйте , уволенный просит справку о непрерывном стаже ,Что ему необходимо выдать ?	553790	Сформируйте и выдайте сотруднику сведения из подраздела 1.2 раздела 1 формы ЕФС-1. Подробнее см. https://plus.1kadry.ru/#/document/12/485102/actual/	2023-12-26T10:47:47.378	увольнение выдавать справка сзв стаж
kuber	2.0	16	Добрый день! Какое наказание Работодателю, если не заплатить за совмещение?	551049	Сотрудник имеет право досрочно отказаться от выполнения дополнительной работы, а работодатель – досрочно отменить поручение о ее выполнении. Далее см. https://vip.1kadry.ru/#/document/86/629664/actual/	2023-12-26T11:03:24.080	отказ совмещение
kuber	2.0	16	как оповестить воегкомат о приёме вотрудника без военного билета	483034	Полного списка расшифровки кодовых обозначений ВУС нет, потому что часть этой информации находится под грифом «Секретно». Далее читайте https://vip.1kadry.ru/#/document/86/503942/actual/	2023-12-26T12:38:19.118	значить буква а вус военный билет
kuber	2.0	12	обязан ли работодатель предоставлять отпуск без оплаты матери ребенка инвалида	544563	Чтобы оформить дополнительные выходные дни по уходу за ребенком-инвалидом, издайте приказ на основании заявления сотрудника. Подробнее смотрите https://budget.1kadry.ru/#/document/86/617730/actual/	2023-12-26T12:55:24.356	ребенок инвалид обязанный ли предоставлять отпуск
kuber	2.0	222	премия работнику по внутреннему совместительству	490073	Сведения по форме СЗВ-ТД сдают все работодатели, в том числе индивидуальные предприниматели, у которых есть наемные работники. Ссылка по вашему вопросу https://plus.1kadry.ru/#/document/12/443377/actual/	2023-12-26T12:58:35.161	совместительство внутренний сзв тд
