TemplateID	LmQuery	Query
4975	заказчик инструкция	инструкция заказчика
4975	квалификационный справочник	квалификационный справочник
4975	госзакупки должностной инструкция менеджер	должностная инструкция менеджера по госзакупкам
6091	ликвидация	ликвидация
6091	банкротство	банкротство
6091	ликвидация проверять	проверить на ликвидацию
5985	питание приказ	приказ питание
5985	закуп обеспечение питание услуга	закуп услуг обеспечением питания
5986	закуп ндс питание школа	ндс при закупе питания для школ
5986	ндс организация питание	НДС по организации питания
2353	бензин июль с	бензин с июля
2353	аи бензин	бензин аи
5174	источник не один состояться	из одного источника по не состоявшимся
5174	закуп не состояться	закуп не состоялся
5174	закупка источник конкурс несостоявшийся один после	из одного источника по несостоявшимся закупкам после конкурса
5183	эцп	ЭЦП
5183	подпись цифровой электронный	электронно-цифровая подпись
5021	символ	символы
5021	госфлаг	госфлаг
1231	зцп субподряд	можно ли по зцп субподряд
1231	объем субподряд	субподряд объем
1231	допускаться какой случай субподряд	в каких случаях допускается субподряд
1231	источник один субподрядчик	субподрядчики по одному источнику
5465	оштрафовать	как оштрафуют
5465	закупка или лот налагаться штраф	штрафы налагаются лоты или на закупку
5465	штраф	штраф
5465	или конкурс лот штраф	штраф на лот или на конкурс
257	конкурс открытый	открытый конкурс
257	конкурс открытый порядок проведение	открытый конкурс порядок проведения
257	конкурс открытый проводиться товар	как проводится открытый конкурс на товар
1708	дополнительный приказ соглашение уменьшение	приказ для дополнительное соглашение на уменьшение
1708	потребность приказ уменьшение	приказ при уменьшении потребности
294	день длиться конкурс открытый сколько	сколько дней длится открытый конкурс
294	картинка конкурс открытый срок	открытый конкурс сроки картинка
294	заявка конкурс повторный прием срок	сроки прием заявок повторного конкурса
294	конкурс проведение срок	сроки проведения конкурса
393	второй договор заключение отказ победитель	отказ второго победителя от заключения договора
393	подписание уклонение	уклонения от подписаний
393	договор договор заключать ну победитель попадать проект реестр	как заключить договор, если победитель попал в реестр ну проект договор
5166	bp gj gj закупка источник конкурс несостоявшийся один приказ	приказ bp одного источника gj несостоявшимся закупкам gj конкурсу
5166	договор заключать конкурс не повторный разыгрываться	как заключить договор если повторный конкурс не разыгрался
